Manager;Manager Number;Path;Sales Rep Name;Sales Rep Name1;Sales Rep Name2;Sales Rep Name3;Sales Rep ID
Stewart Wind;181;Stewart Wind-John Davis;John Davis;Stewart Wind;John Davis;;132
Stewart Wind;181;Stewart Wind-Micheal Williams;Micheal Williams;Stewart Wind;Micheal Williams;;157
Stewart Wind;181;Stewart Wind-Ronald Golinski;Ronald Golinski;Stewart Wind;Ronald Golinski;;166
Viginia Mountain;184;John Greg-Viginia Mountain-Edward Laychak;Edward Laychak;John Greg;Viginia Mountain;Edward Laychak;127
William Fisher;185;Brenda Gibson-William Fisher-Edward Smith;Edward Smith;Brenda Gibson;William Fisher;Edward Smith;129
William Fisher;185;Brenda Gibson-William Fisher-Kim Williams;Kim Williams;Brenda Gibson;William Fisher;Kim Williams;147
Amanda Honda;104;Amanda Honda;Amanda Honda;Amanda Honda;;;104
Brenda Gibson;109;Brenda Gibson;Brenda Gibson;Brenda Gibson;;;109
John Greg;134;John Greg;John Greg;John Greg;;;134
Samantha Allen;169;Samantha Allen;Samantha Allen;Samantha Allen;;;169
Stewart Wind;181;Stewart Wind;Stewart Wind;Stewart Wind;;;181
